index,Body Type,Color,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
2668,SUV,Silver,Used ,1600 cc," 78,000 KM",Duster,Automatic,2019,Renault,"265,000 EGP"
2671,SUV,Gray,Used ,1600 cc," 43,000 KM",Duster,Automatic,2018,Renault,"265,000 EGP"
2930,Automatic,NA,Used ,NA," 156,000 KM",Yeti,1600 cc,2015,Skoda,"265,000 EGP"
3001,SUV,Silver,Used ,1600 cc," 38,000 KM",Tivoli,Automatic,2017,SsangYong,"265,000 EGP"
2422,Sedan,NA, New ,1600 cc,0 KM,301,Automatic,2021,Peugeot,"269,990 EGP"
496,Hatchback,NA,Used ,1400 cc," 320,000 KM",AX,Manual,1995,Citroen,"27,000 EGP"
669,Hatchback,White,Used ,800 cc," 70,000,000 KM",127,Manual,1984,Fiat,"27,000 EGP"
675,Sedan,Blue,Used ,1300 cc, 0 KM,nova,Manual,1996,Fiat,"27,000 EGP"
694,Station,Baby Blue,Used ,1800 cc," 100,000 KM",132,Manual,1976,Fiat,"27,000 EGP"
2869,Hatchback,Red,Used ,1300 cc," 130,000 KM",Felicia,Manual,1997,Skoda,"27,000 EGP"
14,Hatchback,Black,Used ,1400 cc," 156,000 KM",Giulietta,Dual Clutch,2015,Alfa,"270,000 EGP"
16,Hatchback,Black,Used ,1400 cc," 157,000 KM",Giulietta,Automatic,2015,Alfa,"270,000 EGP"
164,Sedan,Black,Used ,2000 cc," 194,000 KM",523i,Automatic,2008,BMW,"270,000 EGP"
165,Sedan,Gray,Used ,2500 cc," 211,000 KM",523i,Automatic,2008,BMW,"270,000 EGP"
170,Sedan,Gray,Used ,2500 cc," 211,000 KM",523i,Automatic,2008,BMW,"270,000 EGP"
1068,Sedan,White,Used ,1600 cc," 75,000 KM",AD,Automatic,2019,Hyundai,"270,000 EGP"
1075,Sedan,Gray,Used ,1500 cc," 66,000 KM",AD,Automatic,2019,Hyundai,"270,000 EGP"
1380,SUV,Navy Blue,Used ,1600 cc," 120,000 KM",Carens,Automatic,2016,Kia,"270,000 EGP"
1413,Sedan,Silver,Used ,1600 cc," 40,000 KM",Cerato,Automatic,2017,Kia,"270,000 EGP"
1484,SUV,Navy Blue,Used ,1600 cc," 120,000 KM",Carens,Automatic,2016,Kia,"270,000 EGP"
1658,SUV,Blue,Used ,1600 cc," 19,000 KM",ZS,Automatic,2019,MG,"270,000 EGP"
2123,Hatchback,Brown,Used ,1600 cc," 100,000 KM",Countryman,Automatic,2012,Mini,"270,000 EGP"
2159,Sedan,Red,Used ,1600 cc," 80,000 KM",Lancer,Automatic,2018,Mitsubishi,"270,000 EGP"
2250,Sedan,Bronze,Used ,1600 cc," 5,000 KM",Sentra,Automatic,2020,Nissan,"270,000 EGP"
2326,SUV,Gray,Used ,1500 cc," 58,000 KM",Land,Automatic,2018,Opel,"270,000 EGP"
2439,Cabriolet,White,Used ,1600 cc," 144,000 KM",307,Automatic,2005,Peugeot,"270,000 EGP"
2440,Cabriolet,White,Used ,1600 cc," 144,000 KM",307,Automatic,2005,Peugeot,"270,000 EGP"
2512,Sedan,White,Used ,1600 cc," 106,000 KM",508,Automatic,2016,Peugeot,"270,000 EGP"
2646,Hatchback,Blue,Used ,1100 cc," 7,000 KM",Clio,Manual,2018,Renault,"270,000 EGP"
2662,SUV,Champagne,Used ,1600 cc," 49,500 KM",Duster,Automatic,2020,Renault,"270,000 EGP"
2665,SUV,Gold,Used ,1600 cc," 58,000 KM",Duster,Automatic,2019,Renault,"270,000 EGP"
2806,Hatchback,NA, New ,1600 cc,0 KM,Ibiza,Automatic,2021,Seat,"270,000 EGP"
2904,Sedan,White,Used ,2000 cc, 300 KM,Octavia,Automatic,2021,Skoda,"270,000 EGP"
3242,Sedan,Gray,Used ,1400 cc," 81,500 KM",Passat,Automatic,2014,Volkswagen,"270,000 EGP"
3311,SUV,White,Used ,1500 cc," 43,000 KM",T600,Automatic,2018,Zotye,"270,000 EGP"
3312,SUV,In Warranty,Used ,1500 cc," 32,000 KM",T600,Automatic,2018,Zotye,"270,000 EGP"
967,Sedan,NA, New ,1600 cc,0 KM,HD,Automatic,2021,Hyundai,"270,900 EGP"
1652,SUV,NA, New ,1500 cc,0 KM,ZS,Automatic,2021,MG,"274,990 EGP"
993,Sedan,NA, New ,1400 cc,0 KM,HCI,Automatic,2021,Hyundai,"275,000 EGP"
994,Sedan,NA, New ,1400 cc,0 KM,HCI,Automatic,2021,Hyundai,"275,000 EGP"
1071,Sedan,Silver,Used ,1600 cc," 52,000 KM",AD,Automatic,2019,Hyundai,"275,000 EGP"
1311,Hatchback,Silver,Used ,3700 cc," 200,000 KM",Cherokee,Automatic,2011,Jeep,"275,000 EGP"
1315,Hatchback,Silver,Used ,3700 cc," 200,000 KM",Cherokee,Automatic,2011,Jeep,"275,000 EGP"
1378,SUV,NA,Used ,1600 cc," 130,000 KM",Carens,Automatic,2017,Kia,"275,000 EGP"
1383,Sedan,Gray,Used ,1600 cc," 85,000 KM",Carens,Manual,2015,Kia,"275,000 EGP"
1390,Hatchback,Blue,Used ,1600 cc," 16,000 KM",Ceed,Automatic,2019,Kia,"275,000 EGP"
1482,SUV,NA,Used ,1600 cc," 130,000 KM",Carens,Automatic,2017,Kia,"275,000 EGP"
1487,Sedan,Gray,Used ,1600 cc," 85,000 KM",Carens,Manual,2015,Kia,"275,000 EGP"
1620,Sedan,White,Used ,1500 cc," 36,000 KM",6,Dual Clutch,2019,MG,"275,000 EGP"
1678,Sedan,Maroon,Used ,1600 cc," 59,000 KM",3,Automatic,2017,Mazda,"275,000 EGP"
2108,Coupe,White,Used ,1600 cc," 80,000 KM",Cooper,Automatic,2012,Mini,"275,000 EGP"
2490,SUV,Silver,Used ,1600 cc," 103,000 KM",5008,Automatic,2016,Peugeot,"275,000 EGP"
2511,Sedan,Black,Used ,1600 cc," 160,000 KM",508,Automatic,2016,Peugeot,"275,000 EGP"
2555,Van,NA, New ,1600 cc,0 KM,Exora,CVT,2021,Proton,"275,000 EGP"
2832,Hatchback,Red,Used ,1200 cc," 66,000 KM",Leon,Automatic,2018,Seat,"275,000 EGP"
3032,SUV,Maroon,Used ,1600 cc," 146,000 KM",XV,Automatic,2016,Subaru,"275,000 EGP"
3058,SUV,Red,Used ,1600 cc," 139,000 KM",Vitara,Automatic,2016,Suzuki,"275,000 EGP"
3291,Sedan,Gray,Used ,1600 cc," 96,000 KM",S60,Automatic,2013,Volvo,"275,000 EGP"
2864,Sedan,Black,Used ,1600 cc," 1,000 KM",Fantasia,Automatic,2012,Skoda,"277,000 EGP"
2866,Sedan,Black,Used ,1600 cc," 1,000 KM",Fantasia,Automatic,2012,Skoda,"277,000 EGP"
2914,Sedan,Gray,Used ,1600 cc," 100,000 KM",Octavia,Automatic,2015,Skoda,"277,000 EGP"
837,Sedan,NA,Used ,1000 cc," 40,000 KM",Focus,Automatic,2018,Ford,"278,000 EGP"
1285,SUV,NA, New ,1500 cc,0 KM,S4,Automatic,2021,JAC,"278,000 EGP"
1379,SUV,Gray,Used ,1600 cc," 59,000 KM",Carens,Automatic,2017,Kia,"278,000 EGP"
1483,SUV,Gray,Used ,1600 cc," 59,000 KM",Carens,Automatic,2017,Kia,"278,000 EGP"
2721,Sedan,NA, New ,1600 cc,0 KM,Megane,CVT,2021,Renault,"279,000 EGP"
820,Hatchback,NA, New ,1000 cc,0 KM,Fiesta,Automatic,2019,Ford,"279,900 EGP"
3057,Automatic,NA, New ,NA,0 KM,Ertiga,1500 cc,2021,Suzuki,"279,900 EGP"
689,Sedan,Beige,Used ,1600 cc, 200 KM,131,Manual,1982,Fiat,"28,000 EGP"
3186,Hatchback,Baby Blue,Used ,1300 cc," 200,000 KM",Beetles,Manual,1972,Volkswagen,"28,000 EGP"
86,SUV,Silver,Used ,1500 cc," 230,000 KM",218,Automatic,2015,BMW,"280,000 EGP"
173,Sedan,Black,Used ,2500 cc," 145,000 KM",525i,Automatic,2008,BMW,"280,000 EGP"
465,Station,White,Used ,2500 cc," 130,000 KM",NKR,Manual,2018,Chevrolet,"280,000 EGP"
493,SUV,Gray,Used ,5000 cc," 180,000 KM",Country,Automatic,2008,Chrysler,"280,000 EGP"
495,Van,Silver,Used ,3800 cc," 245,000 KM",country,Automatic,2009,Chrysler,"280,000 EGP"
509,Hatchback,Orange,Used ,1200 cc," 9,000 KM",C3,Automatic,2020,Citroen,"280,000 EGP"
836,Hatchback,Red,Used ,1000 cc," 32,000 KM",Focus,Automatic,2018,Ford,"280,000 EGP"
1004,Sedan,Navy Blue,Used ,1600 cc, 0 KM,RB,Automatic,2021,Hyundai,"280,000 EGP"
1044,SUV,White,Used ,1600 cc," 71,000 KM",Creta,Automatic,2016,Hyundai,"280,000 EGP"
1069,Sedan,Silver,Used ,1600 cc," 60,000 KM",AD,Automatic,2019,Hyundai,"280,000 EGP"
1072,Sedan,Navy Blue,Used ,1600 cc," 54,000 KM",AD,Automatic,2019,Hyundai,"280,000 EGP"
1073,Sedan,Silver,Used ,1600 cc," 60,000 KM",AD,Automatic,2019,Hyundai,"280,000 EGP"
1313,SUV,Black,Used ,3700 cc," 179,000 KM",Cherokee,Automatic,2011,Jeep,"280,000 EGP"
2089,Coupe,Black,Used ,6200 cc," 320,000 KM",S63,Automatic,2007,Mercedes,"280,000 EGP"
2303,Sedan,Black,Used ,1400 cc," 35,000 KM",Astra,Automatic,2020,Opel,"280,000 EGP"
2324,SUV,Black,Used ,1200 cc," 18,000 KM",Land,Automatic,2020,Opel,"280,000 EGP"
2638,Hatchback,Black,Used ,1600 cc," 10,000 KM",Captur,Automatic,2019,Renault,"280,000 EGP"
2739,Sedan,Black,Used ,1600 cc," 20,000 KM",II,Automatic,2019,Renault,"280,000 EGP"
2740,Sedan,Black,Used ,1600 cc," 20,000 KM",II,Automatic,2019,Renault,"280,000 EGP"
3002,Hatchback,Navy Blue,Used ,1600 cc," 24,000 KM",XLV,Automatic,2019,SsangYong,"280,000 EGP"
791,Sedan,Champagne,Used ,1600 cc, 30 KM,Tipo,Automatic,2021,Fiat,"281,000 EGP"
968,Sedan,Silver,Used ,1600 cc, 0 KM,HD,Automatic,2021,Hyundai,"281,000 EGP"
1090,Sedan,Silver,Used ,1600 cc, 0 KM,HD,Automatic,2021,Hyundai,"281,000 EGP"
395,SUV,NA, New ,1500 cc,0 KM,7,Automatic,2021,Cherry,"283,000 EGP"
398,SUV,Dark Grey,Used ,1500 cc, 50 KM,7,Automatic,2021,Cherry,"283,000 EGP"
1654,SUV,In Warranty,Used ,1500 cc, 0 KM,ZS,Automatic,2021,MG,"283,000 EGP"
777,Hatchback,NA, New ,1600 cc,0 KM,Tipo,Automatic,2021,Fiat,"284,900 EGP"
1441,Sedan,NA, New ,1600 cc,0 KM,Rio,Automatic,2020,Kia,"284,900 EGP"
80,Hatchback,Navy Blue,Used ,1600 cc," 90,000 KM",118i,Automatic,2014,BMW,"285,000 EGP"
81,Hatchback,Red,Used ,1600 cc," 173,000 KM",118i,Automatic,2012,BMW,"285,000 EGP"
141,Sedan,Gray,Used ,3000 cc," 265,000 KM",330i,Automatic,2009,BMW,"285,000 EGP"
1070,Sedan,Black,Used ,1600 cc," 33,000 KM",AD,Automatic,2019,Hyundai,"285,000 EGP"
1159,Hatchback,NA, New ,1400 cc,0 KM,I20,Automatic,2021,Hyundai,"285,000 EGP"
1409,Sedan,Navy Blue,Used ,1600 cc," 40,000 KM",Cerato,Automatic,2019,Kia,"285,000 EGP"
1415,Sedan,Black,Used ,2000 cc," 135,000 KM",Optima,Automatic,2013,Kia,"285,000 EGP"
2249,Sedan,Dark Grey,Used ,1600 cc, 40 KM,Sentra,Automatic,2021,Nissan,"285,000 EGP"
2304,Sedan,Green,Used ,1400 cc," 56,000 KM",Astra,Automatic,2020,Opel,"285,000 EGP"
2362,SUV,Maroon,Used ,1400 cc," 57,000 KM",Mokka,Automatic,2016,Opel,"285,000 EGP"
2418,SUV,Navy Blue,Used ,1600 cc," 110,000 KM",3008,Automatic,2016,Peugeot,"285,000 EGP"
2726,Sedan,White,Used ,1600 cc," 9,000 KM",Megane,CVT,2021,Renault,"285,000 EGP"
3006,Van,Silver,Used ,1600 cc," 84,000 KM",XLV,Automatic,2018,SsangYong,"285,000 EGP"
3033,SUV,Maroon,Used ,1600 cc," 135,000 KM",XV,Automatic,2016,Subaru,"285,000 EGP"
3034,SUV,Maroon,Used ,1600 cc," 135,000 KM",XV,Automatic,2016,Subaru,"285,000 EGP"
840,Sedan,Black,Used ,1000 cc," 29,000 KM",Focus,Automatic,2018,Ford,"287,000 EGP"
1655,SUV,Orange,Used ,1500 cc, 10 KM,ZS,Dual Clutch,2021,MG,"287,000 EGP"
2269,Sedan,Factory Paint,Used ,1500 cc," 42,000 KM",Sunny,Automatic,2020,Nissan,"287,000 EGP"
1615,Sedan,NA, New ,1500 cc,0 KM,6,Dual Clutch,2021,MG,"287,990 EGP"
1408,Sedan,Black,Used ,1600 cc," 31,000 KM",Cerato,Automatic,2019,Kia,"288,000 EGP"
2305,Sedan,Silver,Used ,1400 cc," 13,500 KM",Astra,Automatic,2020,Opel,"288,000 EGP"
2658,SUV,NA, New ,1600 cc,0 KM,Duster,Automatic,2021,Renault,"288,000 EGP"
3277,Sedan,Beige,Used ,2000 cc," 279,000 KM",240,Manual,1979,Volvo,"29,000 EGP"
15,Hatchback,Silver,Used ,1400 cc," 102,000 KM",Giulietta,Automatic,2015,Alfa,"290,000 EGP"
520,SUV,Silver,Used ,1200 cc," 60,000 KM",Aircross,Automatic,2019,Citroen,"290,000 EGP"
838,Sedan,Brown,Used ,1000 cc," 37,000 KM",Focus,Automatic,2018,Ford,"290,000 EGP"
839,Hatchback,White,Used ,1000 cc," 30,000 KM",Focus,Automatic,2018,Ford,"290,000 EGP"
1057,Sedan,NA, New ,1600 cc,0 KM,AD,Automatic,2020,Hyundai,"290,000 EGP"
1163,SUV,NA,Used ,1600 cc," 143,000 KM",I30,Automatic,2016,Hyundai,"290,000 EGP"
1183,Sedan,Gray,Used ,1600 cc," 93,000 KM",35,Automatic,2015,Hyundai,"290,000 EGP"
1291,Sedan,Gold,Used ,2500 cc," 165,000 KM",Type,Automatic,2005,Jaguar,"290,000 EGP"
1736,Station,Dark Grey,Used ,1600 cc," 205,000 KM",180,Automatic,2015,Mercedes,"290,000 EGP"
1741,Hatchback,Gray,Used ,1600 cc," 136,000 KM",200,Dual Clutch,2013,Mercedes,"290,000 EGP"
1924,Sedan,Black,Used ,2400 cc," 370,000 KM",E240,Automatic,2004,Mercedes,"290,000 EGP"
2184,SUV,Gold,Used ,3500 cc," 209,000 KM",Pajero,Automatic,2006,Mitsubishi,"290,000 EGP"
2248,Sedan,Bronze,Used ,1600 cc," 3,000 KM",Sentra,Automatic,2021,Nissan,"290,000 EGP"
2299,Sedan,Silver,Used ,1400 cc," 7,000 KM",Astra,Automatic,2020,Opel,"290,000 EGP"
2302,Sedan,Gray,Used ,1400 cc," 31,000 KM",Astra,Automatic,2020,Opel,"290,000 EGP"
2307,Sedan,Gray,Used ,1400 cc," 65,000 KM",Astra,Automatic,2020,Opel,"290,000 EGP"
2491,SUV,Gold,Used ,1600 cc," 1,100 KM",5008,Automatic,2015,Peugeot,"290,000 EGP"
2666,SUV,Dark Grey,Used ,1600 cc," 28,500 KM",Duster,Automatic,2019,Renault,"290,000 EGP"
2727,Sedan,White,Used ,1600 cc," 9,000 KM",Megane,CVT,2021,Renault,"290,000 EGP"
2417,SUV,Silver,Used ,1600 cc," 56,000 KM",3008,Automatic,2017,Peugeot,"292,000 EGP"
2245,Sedan,NA, New ,1600 cc,0 KM,Sentra,Automatic,2021,Nissan,"292,500 EGP"
1653,SUV,NA, New ,1500 cc,0 KM,ZS,Automatic,2021,MG,"292,990 EGP"
1656,SUV,White,Used ,1500 cc, 0 KM,ZS,Automatic,2021,MG,"293,000 EGP"
2306,Sedan,Gray,Used ,1400 cc," 50,000 KM",Astra,Automatic,2020,Opel,"293,000 EGP"
806,Hatchback,Black,Used ,1000 cc," 57,000 KM",Ecosport,Automatic,2018,Ford,"295,000 EGP"
833,Sedan,NA,Used ,1000 cc," 40,000 KM",Focus,Automatic,2018,Ford,"295,000 EGP"
841,Hatchback,White,Used ,1000 cc," 30,000 KM",Focus,Automatic,2018,Ford,"295,000 EGP"
995,Sedan,NA, New ,1400 cc,0 KM,HCI,Automatic,2021,Hyundai,"295,000 EGP"
1042,SUV,Black,Used ,1600 cc," 45,000 KM",Creta,Automatic,2017,Hyundai,"295,000 EGP"
1160,Hatchback,NA, New ,1400 cc,0 KM,I20,Automatic,2021,Hyundai,"295,000 EGP"
1405,Sedan,Baby Blue,Used ,1600 cc," 60,000 KM",Cerato,Automatic,2019,Kia,"295,000 EGP"
2126,Coupe,Blue,Used ,1600 cc," 119,000 KM",Works,Automatic,2012,Mini,"295,000 EGP"
2300,Sedan,White,Used ,1400 cc," 8,000 KM",Astra,Automatic,2020,Opel,"295,000 EGP"
2637,SUV,Blue,Used ,1200 cc," 25,000 KM",Captur,Dual Clutch,2019,Renault,"295,000 EGP"
2667,SUV,Blue,Used ,1600 cc," 37,000 KM",Duster,Automatic,2019,Renault,"295,000 EGP"
2811,Hatchback,Maroon,Used ,1600 cc," 60,000 KM",Ibiza,Automatic,2019,Seat,"295,000 EGP"
3115,Sedan,NA, New ,1600 cc,0 KM,Corolla,Manual,2021,Toyota,"295,000 EGP"
3148,SUV,Bronze,Used ,4700 cc," 370,000 KM",cruiser,Manual,2007,Toyota,"295,000 EGP"
1314,Automatic,NA,Used ,NA," 235,000 KM",Cherokee,3700 cc,2011,Jeep,"297,000 EGP"
2301,Sedan,Black,Used ,1400 cc," 4,000 KM",Astra,Automatic,2020,Opel,"297,000 EGP"
1598,SUV,NA, New ,3500 cc,0 KM,RX350,Automatic,2020,Lexus,"3,000,000 EGP"
1636,Sedan,NA, New ,3000 cc,0 KM,Quattroporte,Automatic,2019,Maserati,"3,000,000 EGP"
2088,Sedan,White,Used ,4000 cc," 21,000 KM",S560,Automatic,2018,Mercedes,"3,000,000 EGP"
1411,Sedan,Silver,Used ,1600 cc," 25,500 KM",Cerato,Automatic,2018,Kia,"3,005 EGP"
2529,SUV,NA, New ,4000 cc,0 KM,Cayenne,Automatic,2021,Porsche,"3,034,915 EGP"
2540,Sedan,NA, New ,3000 cc,0 KM,4,Automatic,2021,Porsche,"3,084,600 EGP"
1599,SUV,NA, New ,3500 cc,0 KM,RX350,Automatic,2020,Lexus,"3,100,000 EGP"
2071,Sedan,Black,Used ,3000 cc," 3,900 KM",S450,Automatic,2020,Mercedes,"3,100,000 EGP"
2523,Automatic,NA, New ,NA,0 KM,S,3000 cc,2021,Porsche,"3,156,150 EGP"
2611,Automatic,NA, New ,NA,0 KM,Sport,3000 cc,2021,Range,"3,190,000 EGP"
3146,SUV,Beige,Used ,4700 cc, 0 KM,cruiser,Automatic,2019,Toyota,"3,250,000 EGP"
2069,Sedan,NA, New ,3000 cc,0 KM,S450,Automatic,2020,Mercedes,"3,270,000 EGP"
2070,Sedan,NA, New ,3000 cc,0 KM,S450,Automatic,2020,Mercedes,"3,270,000 EGP"
2542,Sedan,NA, New ,2900 cc,0 KM,4,Automatic,2021,Porsche,"3,270,630 EGP"
2543,Sedan,NA, New ,3000 cc,0 KM,4,Automatic,2021,Porsche,"3,305,610 EGP"
2546,Sedan,NA, New ,2900 cc,0 KM,4S,Automatic,2021,Porsche,"3,305,610 EGP"
2046,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,320,000 EGP"
2047,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,320,000 EGP"
2521,Automatic,NA, New ,NA,0 KM,4S,3000 cc,2021,Porsche,"3,350,130 EGP"
2048,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,370,000 EGP"
2544,Sedan,NA, New ,2900 cc,0 KM,4,Automatic,2021,Porsche,"3,394,650 EGP"
2049,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,405,000 EGP"
2524,Cabriolet,NA, New ,3000 cc,0 KM,S,Automatic,2021,Porsche,"3,469,380 EGP"
1974,SUV,NA, New ,3900 cc,0 KM,G500,Automatic,2021,Mercedes,"3,500,000 EGP"
1975,SUV,NA, New ,3900 cc,0 KM,G500,Automatic,2021,Mercedes,"3,500,000 EGP"
2226,Automatic,NA, New ,NA,0 KM,Patrol,5600 cc,2020,Nissan,"3,500,000 EGP"
2547,Sedan,NA, New ,2900 cc,0 KM,4S,Automatic,2021,Porsche,"3,507,540 EGP"
2050,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,520,000 EGP"
2051,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,520,000 EGP"
2053,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,520,000 EGP"
2054,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,570,000 EGP"
2055,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,570,000 EGP"
1976,SUV,NA, New ,3900 cc,0 KM,G500,Dual Clutch,2021,Mercedes,"3,595,000 EGP"
2056,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,605,000 EGP"
2057,Sedan,NA, New ,3000 cc,0 KM,GT53,Automatic,2021,Mercedes,"3,605,000 EGP"
1977,SUV,NA, New ,3900 cc,0 KM,G500,Automatic,2021,Mercedes,"3,660,000 EGP"
2522,Cabriolet,NA, New ,3000 cc,0 KM,4S,Automatic,2021,Porsche,"3,663,360 EGP"
2525,Cabriolet,NA, New ,3000 cc,0 KM,4,Dual Clutch,2021,Porsche,"3,696,486 EGP"
1978,SUV,NA, New ,3900 cc,0 KM,G500,Automatic,2021,Mercedes,"3,710,000 EGP"
1637,Sedan,NA, New ,3000 cc,0 KM,S,Automatic,2019,Maserati,"3,750,000 EGP"
2533,SUV,NA, New ,4000 cc,0 KM,Turbo,Automatic,2021,Porsche,"3,790,560 EGP"
1979,SUV,Black,Used ,3900 cc, 10 KM,G500,Automatic,2021,Mercedes,"3,800,000 EGP"
2548,Sedan,NA, New ,4000 cc,0 KM,GTS,Automatic,2021,Porsche,"3,816,000 EGP"
1633,Cabriolet,NA, New ,4700 cc,0 KM,GranTurismo,Automatic,2018,Maserati,"3,900,000 EGP"
2086,Sedan,NA, New ,3900 cc,0 KM,S560,Automatic,2020,Mercedes,"3,990,000 EGP"
2087,Sedan,NA, New ,3900 cc,0 KM,S560,Automatic,2020,Mercedes,"3,990,000 EGP"
1584,SUV,In Warranty,Used ,5000 cc, 10 KM,Rover,Automatic,2020,Land,"3,999,999 EGP"
631,Hatchback,Dark Grey,Used ,1000 cc," 180,000 KM",Charade,Manual,1992,Daihatsu,"30,000 EGP"
687,Sedan,Green,Used ,1300 cc," 50,000 KM",1300,Manual,1995,Fiat,"30,000 EGP"
688,Sedan,Red,Used ,1600 cc," 200,000 KM",131,Manual,1984,Fiat,"30,000 EGP"
799,Hatchback,Black,Used ,1000 cc, 204 KM,Uno,Manual,1993,Fiat,"30,000 EGP"
1536,Sedan,Beige,Used ,1300 cc," 100,000 KM",2105,Manual,1984,Lada,"30,000 EGP"
1544,Sedan,NA,Used ,1600 cc," 129,000 KM",2107,Manual,2010,Lada,"30,000 EGP"
2750,Sedan,Black,Used ,1300 cc," 65,000 KM",Rainbow,Manual,1997,Renault,"30,000 EGP"
3177,Hatchback,Green,Used ,1300 cc, 0 KM,Beetles,Manual,1979,Volkswagen,"30,000 EGP"
3183,Coupe,Yellow,Used ,1300 cc," 300,000 KM",Beetles,Manual,1973,Volkswagen,"30,000 EGP"
31,Sedan,Silver,Used ,1400 cc," 140,000 KM",A3,Automatic,2014,Audi,"300,000 EGP"
174,Sedan,Black,Used ,2500 cc," 151,000 KM",525i,Automatic,2008,BMW,"300,000 EGP"
337,Hatchback,White,Used ,1500 cc," 35,000 KM",V6,Automatic,2019,Brilliance,"300,000 EGP"
807,SUV,Maroon,Used ,1000 cc," 25,000 KM",Ecosport,Automatic,2018,Ford,"300,000 EGP"
835,Hatchback,White,Used ,1000 cc," 30,000 KM",Focus,Automatic,2018,Ford,"300,000 EGP"
1043,SUV,Black,Used ,1600 cc," 83,500 KM",Creta,Automatic,2017,Hyundai,"300,000 EGP"
1058,Sedan,NA, New ,1600 cc,0 KM,AD,Automatic,2020,Hyundai,"300,000 EGP"
1086,Sedan,Gray,Used ,1600 cc," 12,000 KM",CN7,Automatic,2021,Hyundai,"300,000 EGP"
1180,SUV,Gray,Used ,1600 cc," 117,000 KM",35,Automatic,2016,Hyundai,"300,000 EGP"
1184,SUV,Gray,Used ,1600 cc," 136,000 KM",35,Automatic,2015,Hyundai,"300,000 EGP"
1273,SUV,Black,Used ,3500 cc," 75,000 KM",FX35,Automatic,2007,Infiniti,"300,000 EGP"
1384,SUV,Brown,Used ,1600 cc," 39,000 KM",Carens,Automatic,2015,Kia,"300,000 EGP"
1412,Sedan,Black,Used ,1600 cc," 90,000 KM",Cerato,Automatic,2018,Kia,"300,000 EGP"
1421,Hatchback,In Warranty,Used ,1000 cc," 3,000 KM",Picanto,Automatic,2020,Kia,"300,000 EGP"
1488,SUV,Brown,Used ,1600 cc," 39,000 KM",Carens,Automatic,2015,Kia,"300,000 EGP"
1737,Hatchback,Purple,Used ,1600 cc," 98,000 KM",180,Automatic,2015,Mercedes,"300,000 EGP"
1827,Coupe,Silver,Used ,2000 cc, 10 KM,C300,Automatic,2020,Mercedes,"300,000 EGP"
1960,Sedan,Navy Blue,Used ,2000 cc, 0 KM,E350,Automatic,2020,Mercedes,"300,000 EGP"
2125,SUV,Black,Used ,1600 cc," 122,000 KM",S,Automatic,2013,Mini,"300,000 EGP"
2155,SUV,Red,Used ,1500 cc," 60,000 KM",Eclipse,Automatic,2018,Mitsubishi,"300,000 EGP"
2298,Sedan,Gray,Used ,1400 cc," 19,000 KM",Astra,Automatic,2020,Opel,"300,000 EGP"
2663,SUV,Brown,Used ,1600 cc," 60,000 KM",Duster,Automatic,2020,Renault,"300,000 EGP"
2810,Hatchback,Red,Used ,1600 cc," 26,000 KM",Ibiza,Automatic,2019,Seat,"300,000 EGP"
2912,Sedan,Silver,Used ,1600 cc," 65,000 KM",Octavia,Automatic,2016,Skoda,"300,000 EGP"
3005,SUV,White,Used ,1600 cc," 28,000 KM",XLV,Automatic,2021,SsangYong,"300,000 EGP"
3213,Hatchback,Blue,Used ,1200 cc," 71,000 KM",Golf,Automatic,2017,Volkswagen,"300,000 EGP"
439,Cabriolet,Red,Used ,2700 cc, 0 KM,Frontera,Manual,2021,Chevrolet,"301,000 EGP"
440,Cabriolet,Red,Used ,2700 cc, 0 KM,Frontera,Manual,2021,Chevrolet,"301,000 EGP"
1616,Sedan,NA, New ,1500 cc,0 KM,6,Dual Clutch,2021,MG,"302,990 EGP"
516,SUV,NA, New ,1200 cc,0 KM,Aircross,Automatic,2021,Citroen,"304,900 EGP"
778,Sedan,NA, New ,1600 cc,0 KM,Tipo,Automatic,2021,Fiat,"304,900 EGP"
392,SUV,NA, New ,1500 cc,0 KM,4,Automatic,2019,Cherry,"305,000 EGP"
1065,Sedan,Navy Blue,Used ,1600 cc," 19,000 KM",AD,Automatic,2020,Hyundai,"305,000 EGP"
1161,Hatchback,NA, New ,1400 cc,0 KM,I20,Automatic,2021,Hyundai,"305,000 EGP"
1406,Sedan,Red,Used ,1600 cc," 65,000 KM",Cerato,Automatic,2019,Kia,"305,000 EGP"
1407,Sedan,Silver,Used ,1600 cc," 56,000 KM",Cerato,Automatic,2019,Kia,"305,000 EGP"
