,Ad_ID,date,brand,Model,Year,Condition,Kilometers,Engine Capacity (CC),Transmission Type,Body Type,Fabrica?,price
5901,f47554feb67d4f16b3f00a716d6dfca9,06-02-2023,Mercedes,E200,2022,Used,10,2000,Automatic,Sedan,Yes,3600000
5903,a84dd6229eed465e87ef4a1076da52f1,23-01-2023,Hyundai,Verna,2019,Used,"110,000",1600,Manual,Sedan,,300000
5904,elantra,23-01-2023,Hyundai,Elantra HD,2017,Used,"110,000",1600,Automatic,Sedan,,420000
5905,200faeee8b3540a9a4463a77b573b9b5,23-01-2023,Fiat,Siena,2001,Used,"100,000",1600,Manual,Sedan,Yes,70000
5906,88f2657309674ea8bea027836343f1f4,23-01-2023,Hyundai,Avante,2004,Used,"140,000",1500,Automatic,Sedan,,230000
5907,ix,23-01-2023,Hyundai,IX 35,2015,Used,"114,000",1600,Automatic,SUV,Yes,530000
5908,3c7710f9046e480ca781465623ae0297,23-01-2023,BMW,320i,2021,Used,"31,000",2000,Automatic,Sedan,Yes,1500000
5909,e,23-01-2023,Mercedes,E 180,2019,Used,"1,500",1500,Automatic,Sedan,,2250000
5910,sandero,23-01-2023,Renault,Sandero Stepway,2019,Used,"56,000",1600,Automatic,Hatchback,,350000
5911,5570b1c4d42e403fb92a84a06ac33c1e,23-01-2023,Citroen,C5,2023,Used,"1,000",1600,Automatic,SUV,,1300000
5912,c,23-01-2023,Citroen,C-Elysee,2023,Used,"1,000",1600,Automatic,Sedan,,550000
5914,elantra,23-01-2023,Hyundai,Elantra HD,2023,Used,10,1600,Automatic,Sedan,,619900
5925,aea9af32dbc04bee9a443ee2f8d7f642,23-01-2023,Mitsubishi,Pajero,2012,Used,"125,000",3500,Automatic,Sedan,Yes,700000
5926,a269540d2a844f99a3904516d3664b91,23-01-2023,Opel,Meriva,2016,Used,"140,000",1400,Automatic,SUV,,335000
