,Ad_ID,Body Shape,Car Status,Condition,Engine Capacity,Model,Transmission,Year,brand,price,Mileage,1400,3000,2000,1300,1600,Travel Range,1500,1200,Fuel Type,check,expand_less,5700,4400,1100,4000,1000,3200,3400
1598,https://www.contactcars.com/en/usedcars/mini/cooper-s-countryman-/a8be91b000f140ae813558e2f1892e00-2016?status=Used,SUV,,SUV,1600,Cooper,Automatic,S,Mini,"850,000","48,000",,,,,,,,,,,,,,,,,,
1599,https://www.contactcars.com/en/usedcars/jeep/renegade/8bf08d85b1af416f8cda068824cf609b-2020?status=Used,SUV,,SUV,1400,Renegade,Automatic,2020,Jeep,"1,150,000","80,000",,,,,,,,,,,,,,,,,,
1600,https://www.contactcars.com/en/usedcars/toyota/auris/9c1da7a5f9144afd85e270e13f9038e4-2016?status=Used,Hatchback,,Hatchback,1600,Auris,Automatic,2016,Toyota,"675,000","121,000",,,,,,,,,,,,,,,,,,
1601,https://www.contactcars.com/en/usedcars/chery/arrizo-5/0f795fdab7254ec6b1741ac710d4673b-2022?status=Used,Sedan,,Sedan,1500,ARRIZO,Automatic,5,Chery,"495,000","40,000",,,,,,,,,,,,,,,,,,
1602,https://www.contactcars.com/en/usedcars/opel/astra/92f46c9d661042f9a17533d7af2defd7-2016?status=Used,Sedan,,Sedan,1600,Astra,Automatic,2016,Opel,"665,000","120,000",,,,,,,,,,,,,,,,,,
1603,https://www.contactcars.com/en/usedcars/renault/logan/cdff19713ea14c889ecb09ea5933537a-2022?status=Used,Sedan,,Sedan,1600,Logan,Automatic,2022,Renault,"470,000","14,000",,,,,,,,,,,,,,,,,,
1604,https://www.contactcars.com/en/usedcars/mini/cooper/32fc7063f8f54041aef5d79a7f2cab00-2019?status=Used,Hatchback,,Hatchback,1500,Cooper,Automatic,2019,Mini,"1,100,000","77,000",,,,,,,,,,,,,,,,,,
1605,https://www.contactcars.com/en/newcars4sale/mercedes/glc-300-coupe/f7e433fd99bc442a9e7ca4e603015477-2023?status=New,SUV,New,New,2000,GLC,Automatic,300,Mercedes,"4,650,000",,,,,,,,,,,,,,,,,,,
1606,https://www.contactcars.com/en/usedcars/mercedes/c180/e56f1f7745104c7baf342f3d9dc0f993-2022?status=Used,Sedan,,Sedan,1500,C180,Automatic,2022,Mercedes,"3,250,000","19,000",,,,,,,,,,,,,,,,,,
1607,https://www.contactcars.com/en/usedcars/mercedes/c180/e33561bce8314164adf5a0df8379a1a5-2015?status=Used,Sedan,,Sedan,1600,C180,Automatic,2015,Mercedes,"1,900,000","210,000",,,,,,,,,,,,,,,,,,
1608,https://www.contactcars.com/en/newcars4sale/mitsubishi/xpander/8fd7e51f0a0b48d1b997ff68c07ad07d-2023?status=New?dealer=1519513,SUV,New,New,1500,Xpander,Automatic,2023,Mitsubishi,"385,000",,,,,,,,,,,,,,,,,,,
1609,https://www.contactcars.com/en/usedcars/hyundai/tucson/0a9ab358ae274f95905dcec7dfd3cd66-2020?status=Used,SUV,,SUV,1600,Tucson,Automatic,2020,Hyundai,"1,350,000","56,000",,,,,,,,,,,,,,,,,,
1610,https://www.contactcars.com/en/usedcars/bmw/x7/0ca5ffd20bb548ef93b9e69a7b1edc9e-2020?status=Used?dealer=1519393,SUV,,SUV,,X7,Automatic,2020,BMW,"5,350,000","102,000",,,,,,,,,,,,,Gas,,,,,
1611,https://www.contactcars.com/en/usedcars/hyundai/ix-35/98ba364db1ba4053a812c151c3bea3eb-2014?status=Used,SUV,,SUV,1600,IX,Automatic,35,Hyundai,"750,000","170,000",,,,,,,,,,,,,,,,,,
1612,https://www.contactcars.com/en/newcars4sale/mitsubishi/xpander/78c25e6c02fd41c59fd5ae6612269f95-2023?status=New?dealer=1519513,SUV,New,New,1500,Xpander,Automatic,2023,Mitsubishi,"340,000",,,,,,,,,,,,,,,,,,,
1613,https://www.contactcars.com/en/usedcars/renault/logan/8a946616ca0d45c197acff44f8133c92-2020?status=Used,Sedan,,Sedan,1600,Logan,Automatic,2020,Renault,"480,000","44,000",,,,,,,,,,,,,,,,,,
1614,https://www.contactcars.com/en/usedcars/nissan/sunny/36ff526662634456b465f0bed884ef90-2017?status=Used,Sedan,,Sedan,1500,Sunny,Automatic,2017,Nissan,"405,000","88,000",,,,,,,,,,,,,,,,,,
1615,https://www.contactcars.com/en/usedcars/nissan/qashqai/4503ea80c2c5416188a50c8b51248a45-2020?status=Used,SUV,,SUV,1200,Qashqai,Automatic,2020,Nissan,"1,100,000","21,000",,,,,,,,,,,,,,,,,,
1616,https://www.contactcars.com/en/newcars4sale/seat/arona/a44c27e4cd5642f5bb9a7c5af536dbb9-2023?status=New,SUV,New,New,1600,Arona,Dual Clutch,2023,Seat,"1,375,000",,,,,,,,,,,,,,,,,,,
1617,https://www.contactcars.com/en/newcars4sale/mercedes/glc-300-/b1df736a75e840678afcad0cb1bddc91-2024?status=New?dealer=1519501,SUV,New,New,,GLC,Automatic,300,Mercedes,"2,300,000",,,,Gas,,,,,,,,,,,,,,,
1618,https://www.contactcars.com/en/usedcars/hyundai/matrix/21649452ba824abab5dae57c7461b657-2004?status=Used,Hatchback,,Hatchback,1600,Matrix,Automatic,2004,Hyundai,"450,000","95,000",,,,,,,,,,,,,,,,,,
1619,https://www.contactcars.com/en/usedcars/bmw/x1/f518851b6dd848f5b1e1f1a7f0b23b1a-2023?status=Used?dealer=1519504,SUV,,SUV,1500,X1,Automatic,2023,BMW,"1,000,000","3,000",,,,,,,,,,,,,,,,,,
1620,https://www.contactcars.com/en/usedcars/toyota/corolla/5eb20f33d5bf43f481d352ba236b4a32-2022?status=Used,Sedan,,Sedan,1600,Corolla,Automatic,2022,Toyota,"1,070,000","24,000",,,,,,,,,,,,,,,,,,
1621,https://www.contactcars.com/en/usedcars/mercedes/c180/61d5e12fe77d4f0587ed2d72ed05dae0-2022?status=Used?dealer=1519504,Sedan,,Sedan,1600,C180,Automatic,2022,Mercedes,"1,100,000","8,000",,,,,,,,,,,,,,,,,,
1622,https://www.contactcars.com/en/newcars4sale/mercedes/glc-200/29a19920e8ef4fdca340922b95907994-2023?status=New?dealer=1519504,Coupe,New,New,2000,GLC,Automatic,200,Mercedes,"1,335,000",,,,,,,,,,,,,,,,,,,
1623,https://www.contactcars.com/en/usedcars/skoda/octavia/288a7c498b7c46948e9660e3e4d9c3ce-2022?status=Used,Sedan,,Sedan,1400,Octavia,Automatic,2022,Skoda,"1,370,000","19,000",,,,,,,,,,,,,,,,,,
1624,https://www.contactcars.com/en/usedcars/mercedes/e-250/855486f41c3d4444881e9c247b64dcf6-2011?status=Used,Sedan,,Sedan,2000,E,Automatic,250,Mercedes,"1,380,000","200,000",,,,,,,,,,,,,,,,,,
1625,https://www.contactcars.com/en/newcars4sale/chery/tiggo-7-pro-/b2b41b9d7a1c420fb32439b394cb98f8-2024?status=New?dealer=1519485,SUV,New,New,1500,Tiggo,Automatic,7,Chery,"300,000",,,,,,,,,,,,,,,,,,,
1626,https://www.contactcars.com/en/usedcars/mercedes/c180/e4efa6ded4a5408faafb8ad7e67ff309-2010?status=Used,Sedan,,Sedan,1600,C180,Automatic,2010,Mercedes,"1,200,000","125,000",,,,,,,,,,,,,,,,,,
1627,https://www.contactcars.com/en/newcars4sale/chery/tiggo-8-pro/f909000795434a26859a9ccf6b46ed6b-2024?status=New?dealer=1519485,SUV,New,New,1600,Tiggo,Automatic,8,Chery,"342,500",,,,,,,,,,,,,,,,,,,
